item_id,type,title,description,deadline,time,person,priority,location,notes,source_message_id
TASK_027,task,Review the file before the meeting,"FYI: If possible, review the file before the meeting.",,,,low,,[],MSG_0110
TASK_028,task,Review the model results,FYI: I need you to review the model results by 2026-09-10.,2026-09-10,,,high,,[],MSG_0111
TASK_029,task,Send the revised presentation,Just checking-Can you send the revised presentation before 2026-09-04?,2026-09-04,,,high,,[],MSG_0112
TASK_030,task,Prepare the demo video,Quick update: Prepare the demo video is due on 2026-09-09.,2026-09-09,,,high,,[],MSG_0113
TASK_031,task,Complete the Python exercise,Please complete the Python exercise by 2026-09-08.,2026-09-08,,,high,,[],MSG_0114
TASK_032,task,Call the service centre,Quick update: Don't forget to call the service centre; deadline is 2026-09-07.,2026-09-07,,,high,,[],MSG_0115
TASK_033,task,Send the expense receipt,Can you help? Send the expense receipt is due on 2026-09-08.,2026-09-08,,,high,,[],MSG_0119
TASK_034,task,Call Maya,"Hi, Please call Maya when you are free.",,,Maya,low,,[],MSG_0121
EVENT_022,event,Mentor catch-up,"Hi, Reminder: mentor catch-up happens on 2026-09-11 at 14:00 in the cafeteria.",2026-09-11,14:00,,high,the cafeteria,[],MSG_0122
EVENT_023,event,Placement briefing,"Quick update: Calendar update: placement briefing, 2026-09-19 at 14:00, the library.",2026-09-19,14:00,,medium,the library,[],MSG_0123
EVENT_024,event,Mentor catch-up,Please note: Reminder: mentor catch-up happens on 2026-09-06 at 9:00 in the city clinic.,2026-09-06,09:00,,high,the city clinic,[],MSG_0124
EVENT_025,event,Doctor appointment,FYI: Reminder: doctor appointment happens on 2026-09-11 at 14:00 in the cafeteria.,2026-09-11,14:00,,high,the cafeteria,[],MSG_0127
EVENT_026,event,Team stand-up,"Important: Calendar update: team stand-up, 2026-09-14 at 13:00, the college auditorium.",2026-09-14,13:00,,high,the college auditorium,[],MSG_0129
EVENT_027,event,Project review,One more thing: The project review is scheduled for 2026-09-17 at 16:00 in Zoom.,2026-09-17,16:00,,medium,Zoom,[],MSG_0131
EVENT_028,event,Team meeting (tentative),Important: Let us meet sometime next week.,unresolved,,,high,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0133
EVENT_029,event,Mentor catch-up,Quick update: Reminder: mentor catch-up happens on 2026-09-21 at 16:00 in the cafeteria.,2026-09-21,16:00,,medium,the cafeteria,[],MSG_0135
TASK_035,task,Prepare the demo video,Prepare the demo video is due on 2026-09-05.,2026-09-05,,,high,,[],MSG_0136
EVENT_030,event,Product demo,For today: The product demo is scheduled for 2026-09-17 at 16:00 in Zoom.,2026-09-17,16:00,,medium,Zoom,[],MSG_0138
TASK_036,task,Update the project tracker,Important: Can you update the project tracker before 2026-09-07?,2026-09-07,,,high,,[],MSG_0139
TASK_037,task,Call the service centre,Please note: Don't forget to call the service centre; deadline is 2026-09-05.,2026-09-05,,,high,,[],MSG_0144
TASK_038,task,Complete the Python exercise,FYI: Please complete the Python exercise by 2026-09-04.,2026-09-04,,,medium,,[],MSG_0145
TASK_039,task,Prepare the demo video,FYI: Prepare the demo video is due on 2026-09-10.,2026-09-10,,,high,,[],MSG_0147
TASK_040,task,Call the service centre,One more thing: Don't forget to call the service centre; deadline is 2026-09-03.,2026-09-03,,,high,,[],MSG_0150
EVENT_031,event,Project review,FYI: The project review is scheduled for 2026-09-07 at 10:00 in Zoom.,2026-09-07,10:00,,high,Zoom,[],MSG_0151
TASK_041,task,Finish the test cases,"Hi, Can you finish the test cases before 2026-09-07?",2026-09-07,,,high,,[],MSG_0153
EVENT_032,event,Placement briefing,"One more thing: Calendar update: placement briefing, 2026-09-04 at 15:00, the college auditorium.",2026-09-04,15:00,,medium,the college auditorium,[],MSG_0154
EVENT_033,event,Placement briefing,"For today: Calendar update: placement briefing, 2026-09-14 at 13:00, the college auditorium.",2026-09-14,13:00,,medium,the college auditorium,[],MSG_0156
TASK_042,task,Verify the dataset labels,Just checking-I need you to verify the dataset labels by 2026-09-07.,2026-09-07,,,high,,[],MSG_0157
TASK_043,task,Submit the weekly report,Important: Please submit the weekly report by 2026-09-05.,2026-09-05,,,high,,[],MSG_0160
EVENT_034,event,Study-group session,"Important: Please join the study-group session on 2026-09-03, 14:00 at Google Meet.",2026-09-03,14:00,,high,Google Meet,[],MSG_0162
TASK_044,task,Call the service centre,FYI: Don't forget to call the service centre; deadline is 2026-09-08.,2026-09-08,,,high,,[],MSG_0163
EVENT_035,event,AI workshop,"Hi, Please join the AI workshop on 2026-09-08, 11:00 at Conference Room 2.",2026-09-08,11:00,,high,Conference Room 2,[],MSG_0168
EVENT_036,event,Sprint planning,Important: Reminder: sprint planning happens on 2026-09-06 at 9:00 in the city clinic.,2026-09-06,09:00,,high,the city clinic,[],MSG_0169
TASK_045,task,Share the meeting notes,FYI: Share the meeting notes is due on 2026-09-05.,2026-09-05,,,high,,[],MSG_0170
TASK_046,task,Confirm the interview slot,For today: Please confirm the interview slot by 2026-09-09.,2026-09-09,,,high,,[],MSG_0171
TASK_047,task,Review the model results,One more thing: I need you to review the model results by 2026-09-05.,2026-09-05,,,high,,[],MSG_0173
TASK_048,task,Review the model results,Just checking-I need you to review the model results by 2026-09-06.,2026-09-06,,,high,,[],MSG_0175
EVENT_037,event,Sprint planning,FYI: Reminder: sprint planning happens on 2026-09-21 at 16:00 in the cafeteria.,2026-09-21,16:00,,medium,the cafeteria,[],MSG_0177
TASK_049,task,Renew the library book,Just checking-I need you to renew the library book by 2026-09-02.,2026-09-02,,,medium,,[],MSG_0178
EVENT_038,event,Placement briefing,"Can you help? Calendar update: placement briefing, 2026-09-09 at 16:00, the library.",2026-09-09,16:00,,high,the library,[],MSG_0184
TASK_050,task,Review the file before the meeting,"If possible, review the file before the meeting.",,,,low,,[],MSG_0190
TASK_051,task,Call Maya,Please call Maya when you are free.,,,Maya,low,,[],MSG_0193
TASK_052,task,Confirm the interview slot,One more thing: Please confirm the interview slot by 2026-09-03.,2026-09-03,,,medium,,[],MSG_0195
TASK_053,task,Review the file before the meeting,"Hi, If possible, review the file before the meeting.",,,,low,,[],MSG_0198
EVENT_039,event,Placement briefing,"Please note: Calendar update: placement briefing, 2026-09-04 at 15:00, the college auditorium.",2026-09-04,15:00,,medium,the college auditorium,[],MSG_0201
TASK_054,task,Prepare the demo video,One more thing: Prepare the demo video is due on 2026-09-05.,2026-09-05,,,medium,,[],MSG_0203
EVENT_040,event,Team meeting (tentative),FYI: Let us meet sometime next week.,unresolved,,,low,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0207
TASK_055,task,Submit the weekly report,Quick update: Please submit the weekly report by 2026-09-06.,2026-09-06,,,high,,[],MSG_0208
EVENT_041,event,Team stand-up,"Please note: Calendar update: team stand-up, 2026-09-19 at 10:00, the library.",2026-09-19,10:00,,medium,the library,[],MSG_0209
TASK_056,task,Finish the test cases,Just checking-Can you finish the test cases before 2026-09-09?,2026-09-09,,,high,,[],MSG_0210
EVENT_042,event,Review (tentative),FYI: The review could be Friday afternoon.,unresolved,,,low,,"[""Relative time phrase 'friday' cannot be resolved to a concrete date without external context.""]",MSG_0213
TASK_057,task,Review the privacy checklist,For today: Can you review the privacy checklist before 2026-09-06?,2026-09-06,,,high,,[],MSG_0215
EVENT_043,event,Project review,Important: The project review is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,high,Meeting Room A,[],MSG_0216
EVENT_044,event,Review (tentative),Please note: The review could be Friday afternoon.,unresolved,,,low,,"[""Relative time phrase 'friday' cannot be resolved to a concrete date without external context.""]",MSG_0217
EVENT_045,event,Sprint planning,Reminder: sprint planning happens on 2026-09-16 at 15:00 in the city clinic.,2026-09-16,15:00,,medium,the city clinic,[],MSG_0218
TASK_058,task,Send the expense receipt,Quick update: Send the expense receipt is due on 2026-09-05.,2026-09-05,,,medium,,[],MSG_0219
TASK_059,task,Confirm the interview slot,Important: Please confirm the interview slot by 2026-09-06.,2026-09-06,,,high,,[],MSG_0220
TASK_060,task,Finish the test cases,FYI: Can you finish the test cases before 2026-09-04?,2026-09-04,,,medium,,[],MSG_0221
EVENT_046,event,Internship orientation,"One more thing: Please join the internship orientation on 2026-09-18, 9:00 at Conference Room 2.",2026-09-18,09:00,,medium,Conference Room 2,[],MSG_0222
EVENT_047,event,Study-group session,"Hi, Please join the study-group session on 2026-09-13, 16:00 at Google Meet.",2026-09-13,16:00,,high,Google Meet,[],MSG_0223
TASK_061,task,Verify the dataset labels,FYI: I need you to verify the dataset labels by 2026-09-02.,2026-09-02,,,medium,,[],MSG_0226
TASK_062,task,Send the revised presentation,Quick update: Can you send the revised presentation before 2026-09-07?,2026-09-07,,,high,,[],MSG_0231
TASK_063,task,Renew the library book,One more thing: I need you to renew the library book by 2026-09-10.,2026-09-10,,,high,,[],MSG_0232
EVENT_048,event,AI workshop,"One more thing: Please join the AI workshop on 2026-09-03, 14:00 at Google Meet.",2026-09-03,14:00,,medium,Google Meet,[],MSG_0244
TASK_064,task,Complete the Python exercise,One more thing: Please complete the Python exercise by 2026-09-08.,2026-09-08,,,high,,[],MSG_0245
EVENT_049,event,Mentor catch-up,Important: Reminder: mentor catch-up happens on 2026-09-21 at 12:00 in the cafeteria.,2026-09-21,12:00,,high,the cafeteria,[],MSG_0249
TASK_065,task,Call the service centre,Don't forget to call the service centre; deadline is 2026-09-03.,2026-09-03,,,high,,[],MSG_0251
TASK_066,task,Back up the project files,Quick update: I need you to back up the project files by 2026-09-06.,2026-09-06,,,medium,,[],MSG_0252
EVENT_050,event,Internship orientation,"Hi, Please join the internship orientation on 2026-09-03, 14:00 at Google Meet.",2026-09-03,14:00,,medium,Google Meet,[],MSG_0255
EVENT_051,event,Client discussion,One more thing: The client discussion is scheduled for 2026-09-02 at 13:00 in Meeting Room A.,2026-09-02,13:00,,medium,Meeting Room A,[],MSG_0258
TASK_067,task,Pay the electricity bill,"Hi, Don't forget to pay the electricity bill; deadline is 2026-09-10.",2026-09-10,,,high,,[],MSG_0265
EVENT_052,event,Sprint planning,Please note: Reminder: sprint planning happens on 2026-09-11 at 14:00 in the cafeteria.,2026-09-11,14:00,,high,the cafeteria,[],MSG_0268
TASK_068,task,Upload the assignment,For today: Don't forget to upload the assignment; deadline is 2026-09-03.,2026-09-03,,,high,,[],MSG_0269
EVENT_053,event,Design review,For today: Are you available for the design review at 14:00 on 2026-09-15? Location: the main office.,2026-09-15,14:00,,high,the main office,[],MSG_0271
EVENT_054,event,Family dinner,"FYI: Calendar update: family dinner, 2026-09-19 at 14:00, the library.",2026-09-19,14:00,,medium,the library,[],MSG_0275
EVENT_055,event,Team meeting (tentative),One more thing: Let us meet sometime next week.,unresolved,,,low,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0278
TASK_069,task,Share the meeting notes,Quick update: Share the meeting notes is due on 2026-09-04.,2026-09-04,,,medium,,[],MSG_0280
EVENT_056,event,Technical interview,Please note: Are you available for the technical interview at 13:00 on 2026-09-10? Location: the training hall.,2026-09-10,13:00,,high,the training hall,[],MSG_0282
TASK_070,task,Call the service centre,Important: Don't forget to call the service centre; deadline is 2026-09-06.,2026-09-06,,,high,,[],MSG_0283
TASK_071,task,Reply to the client email,Just checking-Please reply to the client email by 2026-09-08.,2026-09-08,,,high,,[],MSG_0287
TASK_072,task,Finish the test cases,Important: Can you finish the test cases before 2026-09-02?,2026-09-02,,,high,,[],MSG_0289
EVENT_057,event,Design review,Quick update: Are you available for the design review at 15:00 on 2026-09-20? Location: the training hall.,2026-09-20,15:00,,medium,the training hall,[],MSG_0293
EVENT_058,event,Mentor catch-up,Reminder: mentor catch-up happens on 2026-09-11 at 10:00 in the cafeteria.,2026-09-11,10:00,,high,the cafeteria,[],MSG_0294
TASK_073,task,Update the project tracker,For today: Can you update the project tracker before 2026-09-10?,2026-09-10,,,high,,[],MSG_0300
TASK_074,task,Reply to the client email,Can you help? Please reply to the client email by 2026-09-05.,2026-09-05,,,medium,,[],MSG_0301
EVENT_059,event,Client discussion,Important: The client discussion is scheduled for 2026-09-17 at 16:00 in Zoom.,2026-09-17,16:00,,high,Zoom,[],MSG_0302
TASK_075,task,Review the model results,Please note: I need you to review the model results by 2026-09-07.,2026-09-07,,,medium,,[],MSG_0306
TASK_076,task,Send the revised presentation,"Hi, Can you send the revised presentation before 2026-09-02?",2026-09-02,,,medium,,[],MSG_0307
TASK_077,task,Email the signed document,Can you help? Don't forget to email the signed document; deadline is 2026-09-05.,2026-09-05,,,high,,[],MSG_0309
TASK_078,task,Send it,Could you send it soon?,,,,low,,[],MSG_0310
EVENT_060,event,Study-group session,"For today: Please join the study-group session on 2026-09-18, 9:00 at Conference Room 2.",2026-09-18,09:00,,medium,Conference Room 2,[],MSG_0311
TASK_079,task,Back up the project files,"Hi, I need you to back up the project files by 2026-09-10.",2026-09-10,,,high,,[],MSG_0312
TASK_080,task,Confirm the interview slot,Please confirm the interview slot by 2026-09-03.,2026-09-03,,,medium,,[],MSG_0314
EVENT_061,event,Technical interview,FYI: Are you available for the technical interview at 15:00 on 2026-09-20? Location: the training hall.,2026-09-20,15:00,,medium,the training hall,[],MSG_0316
TASK_081,task,Send the revised presentation,Can you send the revised presentation before 2026-09-03?,2026-09-03,,,medium,,[],MSG_0317
TASK_082,task,Send it,Can you help? Could you send it soon?,,,,low,,[],MSG_0323
EVENT_062,event,College seminar,For today: Are you available for the college seminar at 9:00 on 2026-09-10? Location: the training hall.,2026-09-10,09:00,,high,the training hall,[],MSG_0327
EVENT_063,event,AI workshop,"Please note: Please join the AI workshop on 2026-09-03, 14:00 at Google Meet.",2026-09-03,14:00,,medium,Google Meet,[],MSG_0330
TASK_083,task,Complete the onboarding form,Can you help? Complete the onboarding form is due on 2026-09-02.,2026-09-02,,,medium,,[],MSG_0331
TASK_084,task,Back up the project files,Please note: I need you to back up the project files by 2026-09-04.,2026-09-04,,,medium,,[],MSG_0334
TASK_085,task,Confirm the interview slot,Quick update: Please confirm the interview slot by 2026-09-07.,2026-09-07,,,medium,,[],MSG_0335
EVENT_064,event,Product demo,"Hi, The product demo is scheduled for 2026-09-12 at 15:00 in Meeting Room A.",2026-09-12,15:00,,high,Meeting Room A,[],MSG_0338
TASK_086,task,Pay the electricity bill,Quick update: Don't forget to pay the electricity bill; deadline is 2026-09-06.,2026-09-06,,,high,,[],MSG_0339
TASK_087,task,Back up the project files,FYI: I need you to back up the project files by 2026-09-07.,2026-09-07,,,medium,,[],MSG_0340
EVENT_065,event,Product demo,Can you help? The product demo is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,high,Meeting Room A,[],MSG_0342
TASK_088,task,Upload the assignment,Just checking-Don't forget to upload the assignment; deadline is 2026-09-07.,2026-09-07,,,high,,[],MSG_0345
EVENT_066,event,Team meeting (tentative),Let us meet sometime next week.,unresolved,,,low,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0350
EVENT_067,event,Team meeting (tentative),Can you help? Let us meet sometime next week.,unresolved,,,low,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0354
EVENT_068,event,Client discussion,FYI: The client discussion is scheduled for 2026-09-12 at 15:00 in Meeting Room A.,2026-09-12,15:00,,high,Meeting Room A,[],MSG_0356
EVENT_069,event,Project review,Just checking-The project review is scheduled for 2026-09-17 at 12:00 in Zoom.,2026-09-17,12:00,,high,Zoom,[],MSG_0357
TASK_089,task,Send the expense receipt,Send the expense receipt is due on 2026-09-10.,2026-09-10,,,high,,[],MSG_0358
EVENT_070,event,Technical interview,"Hi, Are you available for the technical interview at 10:00 on 2026-09-15? Location: the main office.",2026-09-15,10:00,,high,the main office,[],MSG_0359
TASK_090,task,Verify the dataset labels,For today: I need you to verify the dataset labels by 2026-09-03.,2026-09-03,,,medium,,[],MSG_0360
TASK_091,task,Prepare the demo video,Important: Prepare the demo video is due on 2026-09-08.,2026-09-08,,,high,,[],MSG_0361
EVENT_071,event,Design review,Can you help? Are you available for the design review at 9:00 on 2026-09-10? Location: the training hall.,2026-09-10,09:00,,high,the training hall,[],MSG_0363
TASK_092,task,Reply to the client email,One more thing: Please reply to the client email by 2026-09-07.,2026-09-07,,,medium,,[],MSG_0365
TASK_093,task,Reply to the client email,FYI: Please reply to the client email by 2026-09-03.,2026-09-03,,,medium,,[],MSG_0366
TASK_094,task,Email the signed document,Please note: Don't forget to email the signed document; deadline is 2026-09-09.,2026-09-09,,,high,,[],MSG_0368
TASK_095,task,Submit the weekly report,Please note: Please submit the weekly report by 2026-09-04.,2026-09-04,,,medium,,[],MSG_0369
TASK_096,task,Review the file before the meeting,"One more thing: If possible, review the file before the meeting.",,,,low,,[],MSG_0377
EVENT_072,event,Internship orientation,"Important: Please join the internship orientation on 2026-09-13, 12:00 at Google Meet.",2026-09-13,12:00,,high,Google Meet,[],MSG_0378
TASK_097,task,Submit the weekly report,One more thing: Please submit the weekly report by 2026-09-02.,2026-09-02,,,medium,,[],MSG_0379
EVENT_073,event,Project review,For today: The project review is scheduled for 2026-09-07 at 14:00 in Zoom.,2026-09-07,14:00,,medium,Zoom,[],MSG_0382
EVENT_074,event,College seminar,"Hi, Are you available for the college seminar at 16:00 on 2026-09-05? Location: the main office.",2026-09-05,16:00,,medium,the main office,[],MSG_0384
TASK_098,task,Send it,FYI: Could you send it soon?,,,,low,,[],MSG_0386
TASK_099,task,Send it,Quick update: Could you send it soon?,,,,low,,[],MSG_0393
TASK_100,task,Email the signed document,FYI: Don't forget to email the signed document; deadline is 2026-09-03.,2026-09-03,,,high,,[],MSG_0394
TASK_101,task,Complete the Python exercise,"Hi, Please complete the Python exercise by 2026-09-07.",2026-09-07,,,medium,,[],MSG_0396
TASK_102,task,Complete the onboarding form,FYI: Complete the onboarding form is due on 2026-09-09.,2026-09-09,,,medium,,[],MSG_0398
TASK_103,task,Back up the project files,I need you to back up the project files by 2026-09-02.,2026-09-02,,,medium,,[],MSG_0401
EVENT_075,event,Doctor appointment,Quick update: Reminder: doctor appointment happens on 2026-09-16 at 11:00 in the city clinic.,2026-09-16,11:00,,high,the city clinic,[],MSG_0405
TASK_104,task,Send the revised presentation,Important: Can you send the revised presentation before 2026-09-06?,2026-09-06,,,high,,[],MSG_0407
TASK_105,task,Call Maya,Can you help? Please call Maya when you are free.,,,Maya,low,,[],MSG_0410
TASK_106,task,Update the project tracker,One more thing: Can you update the project tracker before 2026-09-04?,2026-09-04,,,medium,,[],MSG_0412
EVENT_076,event,Technical interview,Quick update: Are you available for the technical interview at 12:00 on 2026-09-05? Location: the main office.,2026-09-05,12:00,,medium,the main office,[],MSG_0413
EVENT_077,event,Design review,One more thing: Are you available for the design review at 16:00 on 2026-09-05? Location: the main office.,2026-09-05,16:00,,medium,the main office,[],MSG_0414
TASK_107,task,Verify the dataset labels,Important: I need you to verify the dataset labels by 2026-09-09.,2026-09-09,,,high,,[],MSG_0417
TASK_108,task,Reply to the client email,Please note: Please reply to the client email by 2026-09-09.,2026-09-09,,,medium,,[],MSG_0418
TASK_109,task,Complete the onboarding form,One more thing: Complete the onboarding form is due on 2026-09-04.,2026-09-04,,,medium,,[],MSG_0420
TASK_110,task,Complete the Python exercise,Quick update: Please complete the Python exercise by 2026-09-03.,2026-09-03,,,medium,,[],MSG_0422
EVENT_078,event,Product demo,Quick update: The product demo is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,2026-09-02,09:00,,medium,Meeting Room A,[],MSG_0423
EVENT_079,event,Sprint planning,Just checking-Reminder: sprint planning happens on 2026-09-11 at 10:00 in the cafeteria.,2026-09-11,10:00,,medium,the cafeteria,[],MSG_0424
TASK_111,task,Review the model results,Important: I need you to review the model results by 2026-09-08.,2026-09-08,,,high,,[],MSG_0425
EVENT_080,event,Project review,Please note: The project review is scheduled for 2026-09-17 at 16:00 in Zoom.,2026-09-17,16:00,,high,Zoom,[],MSG_0427
EVENT_081,event,Internship orientation,"FYI: Please join the internship orientation on 2026-09-08, 11:00 at Conference Room 2.",2026-09-08,11:00,,medium,Conference Room 2,[],MSG_0430
EVENT_082,event,Family dinner,"Can you help? Calendar update: family dinner, 2026-09-14 at 13:00, the college auditorium.",2026-09-14,13:00,,high,the college auditorium,[],MSG_0435
TASK_112,task,Call Maya,One more thing: Please call Maya when you are free.,,,Maya,low,,[],MSG_0438
EVENT_083,event,Team meeting (tentative),Quick update: Let us meet sometime next week.,unresolved,,,low,,"[""Relative time phrase 'next week' cannot be resolved to a concrete date without external context.""]",MSG_0444
EVENT_084,event,Technical interview,One more thing: Are you available for the technical interview at 13:00 on 2026-09-10? Location: the training hall.,2026-09-10,13:00,,medium,the training hall,[],MSG_0445
EVENT_085,event,AI workshop,"Important: Please join the AI workshop on 2026-09-18, 9:00 at Conference Room 2.",2026-09-18,09:00,,high,Conference Room 2,[],MSG_0449
EVENT_086,event,College seminar,Important: Are you available for the college seminar at 14:00 on 2026-09-15? Location: the main office.,2026-09-15,14:00,,high,the main office,[],MSG_0450
TASK_113,task,Reply to the client email,Please reply to the client email by 2026-09-07.,2026-09-07,,,medium,,[],MSG_0451
