message_id,timestamp,sender,category,confidence,uncertain,reason,message_masked,is_mandatory
MSG_0013,2026-09-01 15:24:00,Meera,sensitive_information,0.95,False,Matched sensitive value present (sender: Meera).,One more thing: My card number is **********************.,True
MSG_0014,2026-09-01 16:01:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording + festival wording (sender: Promotions).,Can you help? Special festival discount on clothing. Use code SAVE17.,True
MSG_0015,2026-09-01 16:38:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording (sender: Promotions).,Please note: Flash sale on laptops starts at 6 PM. Use code SAVE23.,True
MSG_0016,2026-09-01 17:15:00,Rohan,personal_information,0.8,False,Matched food preference (sender: Rohan).,Just checking-Remember that i drink coffee without sugar.,True
MSG_0017,2026-09-01 17:52:00,Vikram,action_required,0.9,False,Matched request verb 'renew' + task noun 'library book' + request 'need you to' + date bound 'by 2026-09-08' (sender: Vikram).,Can you help? I need you to renew the library book by 2026-09-08.,False
MSG_0018,2026-09-01 18:29:00,Rohan,sensitive_information,0.95,False,Matched sensitive value present (sender: Rohan).,One more thing: My recent test result says ******.,False
MSG_0019,2026-09-01 19:06:00,Neha,action_required,0.9,False,Matched request verb 'review' + task noun 'model results' + request 'need you to' + date bound 'by 2026-09-03' (sender: Neha).,Can you help? I need you to review the model results by 2026-09-03.,False
MSG_0020,2026-09-01 19:43:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,"Hi, Join our premium plan for exclusive benefits. Use code SAVE19.",False
MSG_0021,2026-09-01 20:20:00,Meera,general_information,0.76,False,Matched availability statement (sender: Meera).,One more thing: The webinar recording is now available.,False
MSG_0022,2026-09-01 20:57:00,Maya,personal_information,0.9,False,Matched personal note + favourite preference (sender: Maya).,Can you help? Personal note: my favourite language is Python.,False
MSG_0023,2026-09-01 21:34:00,Rohan,meeting_or_event,0.93,False,Matched calendar entry + named event 'team stand-up' + date+time+location structure (sender: Rohan).,"Hi, Calendar update: team stand-up, 2026-09-04 at 15:00, the college auditorium.",False
MSG_0024,2026-09-01 22:11:00,Ananya,personal_information,0.77,False,Matched meeting-time preference (sender: Ananya).,Just checking-I might prefer evening meetings now.,True
MSG_0025,2026-09-01 22:48:00,Maya,general_information,0.76,False,Matched maintenance notice (sender: Maya).,FYI: The office Wi-Fi will be under maintenance tonight.,False
MSG_0026,2026-09-01 23:25:00,Kabir,general_information,0.76,False,Matched service-interval statement (sender: Kabir).,Quick update: The shuttle leaves every thirty minutes.,False
MSG_0027,2026-09-02 00:02:00,Aarav,action_required,0.88,False,Matched request verb 'confirm' + task noun 'interview slot' + polite request 'please' + date bound 'by 2026-09-05' (sender: Aarav).,Please note: Please confirm the interview slot by 2026-09-05.,False
MSG_0028,2026-09-02 00:39:00,Kabir,action_required,0.9,False,Matched request verb 'email' + task noun 'signed document' + imperative 'don't forget' + explicit 'deadline' (sender: Kabir).,For today: Don't forget to email the signed document; deadline is 2026-09-04.,False
MSG_0029,2026-09-02 01:16:00,Ishaan,personal_information,0.72,False,Matched communication preference (sender: Ishaan).,"Can you help? Just so you know, i prefer receiving updates by email.",False
MSG_0030,2026-09-02 01:53:00,Vikram,general_information,0.74,False,Matched reorganisation notice (sender: Vikram).,FYI: The project folder was reorganized.,False
MSG_0031,2026-09-02 02:30:00,Maya,action_required,0.86,False,Matched task noun 'project tracker' + request 'can you' + date bound 'before 2026-09-04' (sender: Maya).,Can you update the project tracker before 2026-09-04?,False
MSG_0032,2026-09-02 03:07:00,Kabir,action_required,0.9,False,Matched request verb 'upload' + task noun 'assignment' + imperative 'don't forget' + explicit 'deadline' (sender: Kabir).,Important: Don't forget to upload the assignment; deadline is 2026-09-09.,False
MSG_0033,2026-09-02 03:44:00,Neha,general_information,0.76,False,Matched operating-hours statement (sender: Neha).,Just checking-The event registration desk opens at 9 AM.,False
MSG_0034,2026-09-02 04:21:00,Ishaan,meeting_or_event,0.89,False,Matched invitation to join + named event 'internship orientation' + date+time+location structure (sender: Ishaan).,"Please note: Please join the internship orientation on 2026-09-18, 9:00 at Conference Room 2.",False
MSG_0035,2026-09-02 04:58:00,Rohan,action_required,0.86,False,Matched request verb 'Complete' + task noun 'onboarding form' + due-date phrase 'due on' (sender: Rohan).,For today: Complete the onboarding form is due on 2026-09-10.,False
MSG_0036,2026-09-02 05:35:00,Maya,meeting_or_event,0.89,False,Matched invitation to join + named event 'study-group session' + date+time+location structure (sender: Maya).,"Please join the study-group session on 2026-09-13, 12:00 at Google Meet.",False
MSG_0037,2026-09-02 06:12:00,Meera,meeting_or_event,0.53,True,Matched tentative review slot (sender: Meera). Low-confidence match.,One more thing: The review could be Friday afternoon.,True
MSG_0038,2026-09-02 06:49:00,Maya,action_required,0.86,False,Matched task noun 'project tracker' + request 'can you' + date bound 'before 2026-09-08' (sender: Maya).,Quick update: Can you update the project tracker before 2026-09-08?,False
MSG_0039,2026-09-02 07:26:00,Tara,general_information,0.52,True,No specific classification signal matched; the message reads as an informational statement.,For today: Maya asked whether the demo was ready.,False
MSG_0040,2026-09-02 08:03:00,Tara,personal_information,0.9,False,Matched profile statement + diet preference (sender: Tara).,"For today: For my profile, i am vegetarian.",False
MSG_0041,2026-09-02 08:40:00,Vikram,action_required,0.71,True,Matched request verb 'review' + conditional 'if possible' (sender: Vikram). Low-confidence match.,"For today: If possible, review the file before the meeting.",False
MSG_0042,2026-09-02 09:17:00,Aarav,meeting_or_event,0.92,False,Matched explicit schedule + named event 'client discussion' + date+time+location structure (sender: Aarav).,For today: The client discussion is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,False
MSG_0043,2026-09-02 09:54:00,Rohan,meeting_or_event,0.93,False,Matched calendar entry + named event 'family dinner' + date+time+location structure (sender: Rohan).,"Quick update: Calendar update: family dinner, 2026-09-04 at 11:00, the college auditorium.",False
MSG_0044,2026-09-02 10:31:00,Ananya,action_required,0.87,False,Matched request verb 'complete' + polite request 'please' + date bound 'by 2026-09-09' (sender: Ananya).,Just checking-Please complete the Python exercise by 2026-09-09.,False
MSG_0045,2026-09-02 11:08:00,Rohan,action_required,0.86,False,Matched request verb 'Complete' + task noun 'onboarding form' + due-date phrase 'due on' (sender: Rohan).,Important: Complete the onboarding form is due on 2026-09-07.,False
MSG_0046,2026-09-02 11:45:00,Tara,action_required,0.89,False,Matched request verb 'call' + imperative 'don't forget' + explicit 'deadline' (sender: Tara).,For today: Don't forget to call the service centre; deadline is 2026-09-09.,False
MSG_0047,2026-09-02 12:22:00,Kabir,sensitive_information,0.95,False,Matched sensitive value present (sender: Kabir).,Just checking-My account recovery code is ******.,False
MSG_0048,2026-09-02 12:59:00,Ananya,personal_information,0.9,False,Matched profile statement + living-near statement (sender: Ananya).,"One more thing: For my profile, i live near the central library.",False
MSG_0049,2026-09-02 13:36:00,Ananya,meeting_or_event,0.92,False,Matched explicit schedule + named event 'product demo' + date+time+location structure (sender: Ananya).,One more thing: The product demo is scheduled for 2026-09-07 at 10:00 in Zoom.,False
MSG_0050,2026-09-02 14:13:00,Project Lead,general_information,0.76,False,Matched availability statement (sender: Project Lead).,Important: The webinar recording is now available.,False
MSG_0051,2026-09-02 14:50:00,Kabir,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'doctor appointment' + date+time+location structure (sender: Kabir).,Important: Reminder: doctor appointment happens on 2026-09-16 at 15:00 in the city clinic.,False
MSG_0052,2026-09-02 15:27:00,Tara,general_information,0.76,False,Matched operating-hours statement (sender: Tara).,Quick update: The cafeteria closes at 8 PM.,False
MSG_0053,2026-09-02 16:04:00,Tara,sensitive_information,0.95,False,Matched sensitive value present (sender: Tara).,One more thing: My identification number is ******.,False
MSG_0054,2026-09-02 16:41:00,Meera,meeting_or_event,0.53,True,Matched tentative review slot (sender: Meera). Low-confidence match.,Just checking-The review could be Friday afternoon.,False
MSG_0055,2026-09-02 17:18:00,Ananya,meeting_or_event,0.92,False,Matched explicit schedule + named event 'client discussion' + date+time+location structure (sender: Ananya).,The client discussion is scheduled for 2026-09-07 at 14:00 in Zoom.,False
MSG_0056,2026-09-02 17:55:00,Kabir,action_required,0.75,True,Matched request verb 'call' + polite request 'please' (sender: Kabir). Low-confidence match.,Please note: Please call Maya when you are free.,False
MSG_0057,2026-09-02 18:32:00,Neha,general_information,0.52,True,No specific classification signal matched; the message reads as an informational statement.,Please note: I will send the login details separately.,False
MSG_0058,2026-09-02 19:09:00,Ishaan,action_required,0.89,False,Matched request verb 'review' + task noun 'privacy checklist' + request 'can you' + date bound 'before 2026-09-04' (sender: Ishaan).,Quick update: Can you review the privacy checklist before 2026-09-04?,False
MSG_0059,2026-09-02 19:46:00,Aarav,general_information,0.82,False,Matched availability statement + version statement (sender: Aarav).,Important: The new Python version is available.,False
MSG_0060,2026-09-02 20:23:00,Rohan,action_required,0.86,False,Matched request verb 'Complete' + task noun 'onboarding form' + due-date phrase 'due on' (sender: Rohan).,Quick update: Complete the onboarding form is due on 2026-09-08.,False
MSG_0061,2026-09-02 21:00:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + percentage discount (sender: Promotions).,Quick update: Get 25% off selected headphones this weekend. Use code SAVE30.,False
MSG_0062,2026-09-02 21:37:00,Ishaan,meeting_or_event,0.89,False,Matched invitation to join + named event 'AI workshop' + date+time+location structure (sender: Ishaan).,"Please join the AI workshop on 2026-09-08, 15:00 at Conference Room 2.",False
MSG_0063,2026-09-02 22:14:00,Vikram,action_required,0.9,False,Matched request verb 'renew' + task noun 'library book' + request 'need you to' + date bound 'by 2026-09-07' (sender: Vikram).,For today: I need you to renew the library book by 2026-09-07.,False
MSG_0064,2026-09-02 22:51:00,Aarav,general_information,0.76,False,Matched operating-hours statement (sender: Aarav).,Can you help? The event registration desk opens at 9 AM.,False
MSG_0065,2026-09-02 23:28:00,Kabir,action_required,0.9,False,Matched request verb 'email' + task noun 'signed document' + imperative 'don't forget' + explicit 'deadline' (sender: Kabir).,One more thing: Don't forget to email the signed document; deadline is 2026-09-07.,False
MSG_0066,2026-09-03 00:05:00,Aarav,meeting_or_event,0.9,False,Matched explicit schedule + named event 'project review' + date+time+location structure (sender: Aarav).,Can you help? The project review is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,False
MSG_0067,2026-09-03 00:42:00,Maya,meeting_or_event,0.89,False,Matched invitation to join + named event 'AI workshop' + date+time+location structure (sender: Maya).,"FYI: Please join the AI workshop on 2026-09-13, 16:00 at Google Meet.",False
MSG_0068,2026-09-03 01:19:00,Ananya,general_information,0.71,False,Matched update statement (sender: Ananya).,One more thing: The report template has been updated.,False
MSG_0069,2026-09-03 01:56:00,Rohan,personal_information,0.8,False,Matched food preference (sender: Rohan).,One more thing: Remember that i drink coffee without sugar.,False
MSG_0070,2026-09-03 02:33:00,Maya,general_information,0.76,False,Matched service-interval statement (sender: Maya).,Please note: The shuttle leaves every thirty minutes.,False
MSG_0071,2026-09-03 03:10:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,Quick update: Upgrade your subscription and save 30%. Use code SAVE34.,False
MSG_0072,2026-09-03 03:47:00,Vikram,action_required,0.9,False,Matched request verb 'renew' + task noun 'library book' + request 'need you to' + date bound 'by 2026-09-05' (sender: Vikram).,Quick update: I need you to renew the library book by 2026-09-05.,False
MSG_0073,2026-09-03 04:24:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,Upgrade your subscription and save 30%. Use code SAVE14.,False
MSG_0074,2026-09-03 05:01:00,Vikram,sensitive_information,0.95,False,Matched sensitive value present (sender: Vikram).,Just checking-The temporary access token is ******.,False
MSG_0075,2026-09-03 05:38:00,Vikram,general_information,0.76,False,Matched holiday notice (sender: Vikram).,Just checking-Tomorrow is a public holiday.,False
MSG_0076,2026-09-03 06:15:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,For today: Join our premium plan for exclusive benefits. Use code SAVE49.,False
MSG_0077,2026-09-03 06:52:00,Ananya,meeting_or_event,0.92,False,Matched explicit schedule + named event 'product demo' + date+time+location structure (sender: Ananya).,FYI: The product demo is scheduled for 2026-09-17 at 12:00 in Zoom.,False
MSG_0078,2026-09-03 07:29:00,Rohan,sensitive_information,0.95,False,Matched sensitive value present (sender: Rohan).,Can you help? My recent test result says ******.,False
MSG_0079,2026-09-03 08:06:00,Kabir,general_information,0.76,False,Matched hours-change statement (sender: Kabir).,FYI: The library has extended weekend hours.,False
MSG_0080,2026-09-03 08:43:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording (sender: Promotions).,One more thing: Flash sale on laptops starts at 6 PM. Use code SAVE23.,False
MSG_0081,2026-09-03 09:20:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,Just checking-Join our premium plan for exclusive benefits. Use code SAVE29.,False
MSG_0082,2026-09-03 09:57:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + percentage discount (sender: Promotions).,Get 25% off selected headphones this weekend. Use code SAVE10.,False
MSG_0083,2026-09-03 10:34:00,Vikram,action_required,0.9,False,Matched request verb 'renew' + task noun 'library book' + request 'need you to' + date bound 'by 2026-09-04' (sender: Vikram).,Important: I need you to renew the library book by 2026-09-04.,False
MSG_0084,2026-09-03 11:11:00,Ananya,personal_information,0.77,False,Matched meeting-time preference (sender: Ananya).,"Hi, I might prefer evening meetings now.",False
MSG_0085,2026-09-03 11:48:00,Promotions,promotional,0.93,False,Matched sender is the promotions account + promo code 'SAVE..' + plan upsell wording (sender: Promotions).,Quick update: Join our premium plan for exclusive benefits. Use code SAVE39.,False
MSG_0086,2026-09-03 12:25:00,Ishaan,sensitive_information,0.94,False,Matched sensitive value present (sender: Ishaan).,Use password ****** to sign in to the test account.,False
MSG_0087,2026-09-03 13:02:00,Ishaan,personal_information,0.72,False,Matched communication preference (sender: Ishaan).,FYI: Remember that i prefer receiving updates by email.,False
MSG_0088,2026-09-03 13:39:00,Ishaan,action_required,0.89,False,Matched request verb 'finish' + task noun 'test cases' + request 'can you' + date bound 'before 2026-09-08' (sender: Ishaan).,One more thing: Can you finish the test cases before 2026-09-08?,False
MSG_0089,2026-09-03 14:16:00,Tara,action_required,0.89,False,Matched request verb 'call' + imperative 'don't forget' + explicit 'deadline' (sender: Tara).,Just checking-Don't forget to call the service centre; deadline is 2026-09-04.,False
MSG_0090,2026-09-03 14:53:00,Ananya,general_information,0.76,False,Matched weather statement (sender: Ananya).,FYI: The weather forecast says light rain.,False
MSG_0091,2026-09-03 15:30:00,Aarav,general_information,0.76,False,Matched operating-hours statement (sender: Aarav).,For today: The cafeteria closes at 8 PM.,False
MSG_0092,2026-09-03 16:07:00,Promotions,promotional,0.94,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording + buy-one-get-one (sender: Promotions).,Quick update: Limited-time offer: buy one course and get one free. Use code SAVE31.,False
MSG_0093,2026-09-03 16:44:00,Meera,personal_information,0.9,False,Matched personal note + emergency-contact statement (sender: Meera).,FYI: Personal note: my emergency contact is my brother.,False
MSG_0094,2026-09-03 17:21:00,Tara,personal_information,0.9,False,Matched personal note + diet preference (sender: Tara).,"Hi, Personal note: i am vegetarian.",False
MSG_0095,2026-09-03 17:58:00,Ishaan,sensitive_information,0.94,False,Matched sensitive value present (sender: Ishaan).,Please note: Use password ****** to sign in to the test account.,False
MSG_0096,2026-09-03 18:35:00,Ishaan,general_information,0.76,False,Matched operating-hours statement (sender: Ishaan).,Quick update: The event registration desk opens at 9 AM.,False
MSG_0097,2026-09-03 19:12:00,Rohan,meeting_or_event,0.93,False,Matched calendar entry + named event 'placement briefing' + date+time+location structure (sender: Rohan).,"Just checking-Calendar update: placement briefing, 2026-09-04 at 11:00, the college auditorium.",False
MSG_0098,2026-09-03 19:49:00,Meera,meeting_or_event,0.53,True,Matched tentative review slot (sender: Meera). Low-confidence match.,Quick update: The review could be Friday afternoon.,False
MSG_0099,2026-09-03 20:26:00,Maya,personal_information,0.9,False,Matched profile statement + favourite preference (sender: Maya).,"FYI: For my profile, my favourite language is Python.",False
MSG_0100,2026-09-03 21:03:00,Kabir,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'sprint planning' + date+time+location structure (sender: Kabir).,"Hi, Reminder: sprint planning happens on 2026-09-16 at 11:00 in the city clinic.",False
MSG_0101,2026-09-03 21:40:00,Kabir,action_required,0.9,False,Matched request verb 'email' + task noun 'signed document' + imperative 'don't forget' + explicit 'deadline' (sender: Kabir).,Don't forget to email the signed document; deadline is 2026-09-07.,False
MSG_0102,2026-09-03 22:17:00,Maya,action_required,0.89,False,Matched request verb 'send' + task noun 'revised presentation' + request 'can you' + date bound 'before 2026-09-08' (sender: Maya).,FYI: Can you send the revised presentation before 2026-09-08?,False
MSG_0103,2026-09-03 22:54:00,Neha,meeting_or_event,0.91,False,Matched availability request for a slot + named event 'technical interview' + date+time+location structure (sender: Neha).,Important: Are you available for the technical interview at 16:00 on 2026-09-05? Location: the main office.,False
MSG_0104,2026-09-03 23:31:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording (sender: Promotions).,Flash sale on laptops starts at 6 PM. Use code SAVE13.,False
MSG_0105,2026-09-04 00:08:00,Promotions,promotional,0.94,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording + buy-one-get-one (sender: Promotions).,Limited-time offer: buy one course and get one free. Use code SAVE11.,False
MSG_0106,2026-09-04 00:45:00,Rohan,sensitive_information,0.95,False,Matched sensitive value present (sender: Rohan).,Quick update: My recent test result says ******.,False
MSG_0107,2026-09-04 01:22:00,Tara,general_information,0.76,False,Matched operating-hours statement (sender: Tara).,Important: The cafeteria closes at 8 PM.,False
MSG_0108,2026-09-04 01:59:00,Rohan,personal_information,0.8,False,Matched food preference (sender: Rohan).,"Quick update: Just so you know, i drink coffee without sugar.",False
MSG_0109,2026-09-04 02:36:00,Meera,personal_information,0.9,False,Matched profile statement + emergency-contact statement (sender: Meera).,"Can you help? For my profile, my emergency contact is my brother.",False
MSG_0110,2026-09-04 03:13:00,Vikram,action_required,0.71,True,Matched request verb 'review' + conditional 'if possible' (sender: Vikram). Low-confidence match.,"FYI: If possible, review the file before the meeting.",False
MSG_0111,2026-09-04 03:50:00,Neha,action_required,0.9,False,Matched request verb 'review' + task noun 'model results' + request 'need you to' + date bound 'by 2026-09-10' (sender: Neha).,FYI: I need you to review the model results by 2026-09-10.,False
MSG_0112,2026-09-04 04:27:00,Maya,action_required,0.89,False,Matched request verb 'send' + task noun 'revised presentation' + request 'can you' + date bound 'before 2026-09-04' (sender: Maya).,Just checking-Can you send the revised presentation before 2026-09-04?,False
MSG_0113,2026-09-04 05:04:00,Rohan,action_required,0.86,False,Matched request verb 'Prepare' + task noun 'demo video' + due-date phrase 'due on' (sender: Rohan).,Quick update: Prepare the demo video is due on 2026-09-09.,False
MSG_0114,2026-09-04 05:41:00,Ananya,action_required,0.87,False,Matched request verb 'complete' + polite request 'please' + date bound 'by 2026-09-08' (sender: Ananya).,Please complete the Python exercise by 2026-09-08.,False
MSG_0115,2026-09-04 06:18:00,Tara,action_required,0.89,False,Matched request verb 'call' + imperative 'don't forget' + explicit 'deadline' (sender: Tara).,Quick update: Don't forget to call the service centre; deadline is 2026-09-07.,False
MSG_0116,2026-09-04 06:55:00,HR Team,general_information,0.76,False,Matched holiday notice (sender: HR Team).,Quick update: Tomorrow is a public holiday.,False
MSG_0117,2026-09-04 07:32:00,Vikram,sensitive_information,0.95,False,Matched sensitive value present (sender: Vikram).,Please note: The temporary access token is ******.,False
MSG_0118,2026-09-04 08:09:00,Tara,sensitive_information,0.95,False,Matched sensitive value present (sender: Tara).,For today: My identification number is ******.,False
MSG_0119,2026-09-04 08:46:00,Meera,action_required,0.86,False,Matched request verb 'Send' + task noun 'expense receipt' + due-date phrase 'due on' (sender: Meera).,Can you help? Send the expense receipt is due on 2026-09-08.,False
MSG_0120,2026-09-04 09:23:00,Kabir,sensitive_information,0.95,False,Matched sensitive value present (sender: Kabir).,Please note: My account recovery code is ******.,False
MSG_0121,2026-09-04 10:00:00,Kabir,action_required,0.75,True,Matched request verb 'call' + polite request 'please' (sender: Kabir). Low-confidence match.,"Hi, Please call Maya when you are free.",False
MSG_0122,2026-09-04 10:37:00,Tara,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'mentor catch-up' + date+time+location structure (sender: Tara).,"Hi, Reminder: mentor catch-up happens on 2026-09-11 at 14:00 in the cafeteria.",False
MSG_0123,2026-09-04 11:14:00,Meera,meeting_or_event,0.93,False,Matched calendar entry + named event 'placement briefing' + date+time+location structure (sender: Meera).,"Quick update: Calendar update: placement briefing, 2026-09-19 at 14:00, the library.",False
MSG_0124,2026-09-04 11:51:00,Kabir,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'mentor catch-up' + date+time+location structure (sender: Kabir).,Please note: Reminder: mentor catch-up happens on 2026-09-06 at 9:00 in the city clinic.,False
MSG_0125,2026-09-04 12:28:00,Aarav,general_information,0.74,False,Matched relocation notice (sender: Aarav).,For today: The building entrance has moved temporarily.,False
MSG_0126,2026-09-04 13:05:00,Maya,sensitive_information,0.95,False,Matched sensitive value present (sender: Maya).,Can you help? You can contact me on **************.,False
MSG_0127,2026-09-04 13:42:00,Tara,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'doctor appointment' + date+time+location structure (sender: Tara).,FYI: Reminder: doctor appointment happens on 2026-09-11 at 14:00 in the cafeteria.,False
MSG_0128,2026-09-04 14:19:00,Vikram,general_information,0.76,False,Matched holiday notice (sender: Vikram).,One more thing: Tomorrow is a public holiday.,False
MSG_0129,2026-09-04 14:56:00,Rohan,meeting_or_event,0.93,False,Matched calendar entry + named event 'team stand-up' + date+time+location structure (sender: Rohan).,"Important: Calendar update: team stand-up, 2026-09-14 at 13:00, the college auditorium.",False
MSG_0130,2026-09-04 15:33:00,Aarav,sensitive_information,0.95,False,Matched sensitive value present (sender: Aarav).,Can you help? My home address is ******.,False
MSG_0131,2026-09-04 16:10:00,Ananya,meeting_or_event,0.9,False,Matched explicit schedule + named event 'project review' + date+time+location structure (sender: Ananya).,One more thing: The project review is scheduled for 2026-09-17 at 16:00 in Zoom.,False
MSG_0132,2026-09-04 16:47:00,Tara,general_information,0.52,True,No specific classification signal matched; the message reads as an informational statement.,Just checking-Maya asked whether the demo was ready.,False
MSG_0133,2026-09-04 17:24:00,Maya,meeting_or_event,0.75,True,Matched tentative meeting proposal (sender: Maya). Low-confidence match.,Important: Let us meet sometime next week.,False
MSG_0134,2026-09-04 18:01:00,Kabir,personal_information,0.8,False,Matched clothing size (sender: Kabir).,"Hi, Remember that my T-shirt size is medium.",False
MSG_0135,2026-09-04 18:38:00,Tara,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'mentor catch-up' + date+time+location structure (sender: Tara).,Quick update: Reminder: mentor catch-up happens on 2026-09-21 at 16:00 in the cafeteria.,False
MSG_0136,2026-09-04 19:15:00,Rohan,action_required,0.86,False,Matched request verb 'Prepare' + task noun 'demo video' + due-date phrase 'due on' (sender: Rohan).,Prepare the demo video is due on 2026-09-05.,False
MSG_0137,2026-09-04 19:52:00,Kabir,sensitive_information,0.95,False,Matched sensitive value present (sender: Kabir).,My account recovery code is ******.,False
MSG_0138,2026-09-04 20:29:00,Ananya,meeting_or_event,0.92,False,Matched explicit schedule + named event 'product demo' + date+time+location structure (sender: Ananya).,For today: The product demo is scheduled for 2026-09-17 at 16:00 in Zoom.,False
MSG_0139,2026-09-04 21:06:00,Maya,action_required,0.86,False,Matched task noun 'project tracker' + request 'can you' + date bound 'before 2026-09-07' (sender: Maya).,Important: Can you update the project tracker before 2026-09-07?,False
MSG_0140,2026-09-04 21:43:00,Ishaan,sensitive_information,0.94,False,Matched sensitive value present (sender: Ishaan).,Can you help? Use password ****** to sign in to the test account.,False
MSG_0141,2026-09-04 22:20:00,Tara,general_information,0.76,False,Matched operating-hours statement (sender: Tara).,For today: The event registration desk opens at 9 AM.,False
MSG_0142,2026-09-04 22:57:00,Promotions,promotional,0.92,False,Matched sender is the promotions account + promo code 'SAVE..' + sale or offer wording (sender: Promotions).,Important: Flash sale on laptops starts at 6 PM. Use code SAVE33.,False
MSG_0143,2026-09-04 23:34:00,Vikram,personal_information,0.8,False,Matched appearance preference (sender: Vikram).,"For today: Just so you know, i use dark mode.",False
MSG_0144,2026-09-05 00:11:00,Tara,action_required,0.89,False,Matched request verb 'call' + imperative 'don't forget' + explicit 'deadline' (sender: Tara).,Please note: Don't forget to call the service centre; deadline is 2026-09-05.,False
MSG_0145,2026-09-05 00:48:00,Ananya,action_required,0.87,False,Matched request verb 'complete' + polite request 'please' + date bound 'by 2026-09-04' (sender: Ananya).,FYI: Please complete the Python exercise by 2026-09-04.,False
MSG_0146,2026-09-05 01:25:00,Rohan,personal_information,0.8,False,Matched food preference (sender: Rohan).,For today: Remember that i drink coffee without sugar.,False
